mass_log10_kg,periapsis_Rm,v_inf_kms,spin_axis,has_explicit_spin,nearby_run_count,local_grouped_mae,local_grouped_rmse,mean_predicted_bmf,mean_actual_bmf,benchmark_disagreement_mean,sparse_region_flag,local_grouped_mae_percentage_points,benchmark_disagreement_percentage_points,sparse_threshold
20.0,1.8,0.4,none,False,1,0.0010306313625287214,0.0010306313625287214,0.0010306313625287214,0.0,0.00013104303191210074,True,0.10306313625287214,0.013104303191210073,2.0
20.0,1.8,0.6,none,False,1,0.0003086392062856368,0.0003086392062856368,0.0003086392062856368,0.0,0.00027440220340485934,True,0.030863920628563676,0.027440220340485932,2.0
20.0,1.8,0.8,none,False,1,6.177152455061571e-05,6.177152455061571e-05,6.177152455061571e-05,0.0,6.715744003054573e-05,True,0.006177152455061572,0.006715744003054573,2.0
20.0,1.8,1.0,none,False,1,5.91731974647972e-05,5.91731974647972e-05,5.91731974647972e-05,0.0,5.888680687233254e-05,True,0.00591731974647972,0.005888680687233254,2.0
20.0,1.9,0.0,none,False,1,0.0013725195173685963,0.0014371490503092394,0.0013725195173685963,0.0,0.00042690507067723516,True,0.13725195173685964,0.04269050706772352,2.0
20.0,1.9,0.0,z,True,2,0.006920609167593378,0.006936535776096093,0.20576922657955093,0.21268983574714428,0.052932361179909765,True,0.6920609167593378,5.293236117990976,2.0
20.0,2.0,0.0,none,False,2,0.0005453312256274179,0.00073341172775955,0.0005453312256274179,0.0,0.0006991092129164267,True,0.054533122562741794,0.06991092129164267,2.0
20.0,2.0,0.0,x,True,5,0.01567561446427001,0.02884485754887261,0.01567561446427001,0.0,0.0019752326502940993,False,1.567561446427001,0.19752326502940992,2.0
20.0,2.0,0.0,y,True,5,0.028267378300686413,0.046835037919366,0.028267378300686413,0.0,0.017953327759133574,False,2.8267378300686414,1.7953327759133573,2.0
20.0,2.0,0.0,z,True,5,0.043592996203231836,0.05240640301088762,0.13055398955599998,0.1152322486217269,0.04068070694219912,False,4.359299620323184,4.068070694219912,2.0
20.0,2.0,0.2,none,False,1,0.0008156656843718869,0.0008156656843718869,0.0008156656843718869,0.0,0.0002603433887878988,True,0.0815665684371887,0.026034338878789882,2.0
20.0,2.0,0.2,z,True,2,0.013329955728034165,0.018798766429151348,0.17103378989992082,0.184363745627955,0.03030122807117315,True,1.3329955728034166,3.030122807117315,2.0
20.0,2.0,0.4,none,False,1,0.0006246745425335722,0.0006246745425335722,0.0006246745425335722,0.0,0.0011842240595057074,True,0.062467454253357216,0.11842240595057074,2.0
20.0,2.0,0.4,z,True,2,0.018485353480910828,0.01863381574030399,0.13211827364716122,0.12977076523836295,0.040968236507940764,True,1.8485353480910829,4.096823650794076,2.0
20.0,2.0,0.6,none,False,1,0.00019757196676673967,0.00019757196676673967,0.00019757196676673967,0.0,0.00019757196676673967,True,0.019757196676673968,0.019757196676673968,2.0
20.0,2.0,0.6,z,True,2,0.018826011389235238,0.021731151440155114,0.05853926739000531,0.06939395476861465,0.006283968833465745,True,1.8826011389235238,0.6283968833465745,2.0
20.0,2.0,0.8,z,True,2,0.005539146647057222,0.007677757722464056,0.025559223329280387,0.02024266259255865,0.004719321630851881,True,0.5539146647057223,0.47193216308518815,2.0
20.0,2.0,1.0,z,True,2,0.008534684158172262,0.012069866087058016,0.008534684158172262,0.0,0.0062264070483433066,True,0.8534684158172262,0.6226407048343306,2.0
20.0,2.2,0.0,none,False,2,0.00030331356893487847,0.0005337971302579545,0.00030331356893487847,0.0,0.0013427287527171187,True,0.030331356893487846,0.13427287527171186,2.0
20.0,2.2,0.0,z,True,2,0.06043775035253682,0.06082055862597755,0.09724215793222649,0.10405528378607715,0.034029202346399515,True,6.043775035253682,3.4029202346399514,2.0
20.0,2.4,0.0,none,False,1,7.10392702934536e-05,7.21080939159211e-05,7.10392702934536e-05,0.0,0.00010420921633231448,True,0.007103927029345361,0.010420921633231448,2.0
20.0,2.4,0.0,z,True,2,0.021656878599781063,0.021657072348616746,0.09306727305905026,0.0714103944592692,0.047945094665692765,True,2.165687859978106,4.794509466569276,2.0
20.0,2.6,0.0,z,True,2,0.02237887433752989,0.022730536518854746,0.03246440453376773,0.0364472770926171,0.010819968057153729,True,2.237887433752989,1.0819968057153728,2.0
20.0,2.8,0.0,z,True,2,0.03785282231502455,0.05341670666935311,0.03785282231502455,0.0,0.004467506594356575,True,3.785282231502455,0.4467506594356575,2.0
20.0,3.0,0.0,z,True,2,0.005449035185460198,0.006281928269201346,0.005449035185460198,0.0,0.034774880032152365,True,0.5449035185460198,3.4774880032152367,2.0
20.5,1.2,0.0,none,False,1,0.023544962928598857,0.023570344237659135,0.24758928161437402,0.2711342445429729,0.029202313393891205,True,2.354496292859886,2.9202313393891206,2.0
20.5,1.6,0.0,none,False,1,0.00882945451484582,0.008830071305957171,0.20896138143709564,0.21779083595194146,0.04071567785291632,True,0.8829454514845819,4.071567785291632,2.0
21.0,1.2,0.0,none,False,1,0.00575805764453315,0.005769474463664108,0.2644689149471449,0.2587108573026118,0.006070176945101739,True,0.575805764453315,0.607017694510174,2.0
21.0,1.6,0.0,none,False,1,0.004542622914905814,0.004653727307747703,0.2080702019927808,0.21261282490768663,0.007391613777149512,True,0.4542622914905814,0.7391613777149513,2.0
