fof_file,physical_file,matched_physical_file_found,readable,particle_count_match,nonfof_velocity_max_abs,nonfof_velocity_nonzero_count,status,error_message
Ma_xp_A1900_s047z_n65_r12_v08_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r12_v08_90000.hdf5,True,True,True,1250.9808875620365,3162280,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047z_n65_r12_v10_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_s047z_n65_r12_v15_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r12_v15_90000.hdf5,True,True,True,1474.9018009752035,3162280,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047z_n65_r12_v20_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r12_v20_90000.hdf5,True,True,True,1637.2577520087361,3162280,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047z_n65_r13_v00_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_s047z_n65_r14_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r14_v00_90000.hdf5,True,True,True,17306.03724718094,3162260,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047z_n65_r15_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r15_v00_90000.hdf5,True,True,True,1093.3353332802653,3162280,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047z_n65_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r16_v00_90000.hdf5,True,True,True,1087.3059509322047,3162280,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047z_n65_r16_v02_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_s047z_n65_r16_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r16_v04_90000.hdf5,True,True,True,9786.32178157568,3162277,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047z_n65_r16_v06_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r16_v06_90000.hdf5,True,True,True,1154.0097184479237,3162280,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
